method,ratio,estimated_ratio,seed,initial_error,final_error,success,steps,path_length,mean_tracking_error,saturations,effort,mean_margin,branch_switches
nominal_fixed,1.0,1.0,100023000,0.394893953139973,0.04317042885279569,1.0,18.0,0.35174089977426903,0.0026998684937553,0.0,1.995994122809794,0.7262155667284792,0.0
nominal_fixed,1.0,1.0,100023001,0.6406087202495037,0.04171029946818055,1.0,27.0,0.5988997017396418,0.0122106839753868,0.0,7.348613763685434,0.5168160338756264,0.0
nominal_fixed,1.0,1.0,100023002,0.5356798385661731,0.04470041903197278,1.0,23.0,0.4909794195342003,0.011827865294822515,0.0,5.627738107638272,0.6467084464004637,0.0
nominal_fixed,1.0,1.0,100023003,0.4171625374737896,0.03984422173043237,1.0,20.0,0.3773183157433572,0.010453189155124045,0.0,5.023236715906377,0.5659445241934364,0.0
nominal_fixed,1.0,1.0,100023004,0.5285164309182678,0.04328825490237104,1.0,23.0,0.485234033032038,0.01165807684410444,0.0,5.044460287482771,0.5766522247824468,0.0
nominal_fixed,1.0,1.0,100023005,0.7585572870153192,0.041175332891767086,1.0,30.0,0.7174504508309384,0.003594335494036108,0.0,6.721900024942569,0.5850181117183003,0.0
nominal_fixed,1.0,1.0,100023006,0.5217717409574512,0.04193240458208051,1.0,23.0,0.4798432839613313,0.010826471191102683,0.0,1.7934231949458872,0.7482664480093596,0.0
nominal_fixed,1.0,1.0,100023007,0.6192984644149202,0.043288436967868826,1.0,26.0,0.5760100274470515,0.012275172775313951,0.0,7.599912123530997,0.5889510898601779,0.0
nominal_fixed,1.0,1.0,100023008,0.5268359653946805,0.04301353646698303,1.0,23.0,0.4838224289276975,0.011655450897310016,0.0,5.947944280744369,0.5694975030752608,0.0
nominal_fixed,1.0,1.0,100023009,0.5361589102850984,0.04461409005129083,1.0,23.0,0.49155227798467127,0.011393083302354067,0.0,4.815020142682576,0.5771779927980062,0.0
nominal_fixed,1.0,1.0,100023010,0.6077106601048159,0.0408986563937247,1.0,25.0,0.5668130219006771,0.0002029538342217075,0.0,6.003725160650793,0.5695949697953779,0.0
nominal_fixed,1.0,1.0,100023011,0.5751276824376014,0.04086221631056424,1.0,24.0,0.5342722866792252,0.0007853941851369709,0.0,4.601487430926704,0.6108494594522457,0.0
nominal_fixed,1.0,1.0,100023012,0.4344377092201161,0.04277025295269155,1.0,20.0,0.39166745626742455,0.01085071631946546,0.0,6.159252873475929,0.5548593958907223,0.0
nominal_fixed,1.0,1.0,100023013,0.7353197187201542,0.04237655271772528,1.0,30.0,0.692943166002429,0.012798152445375846,0.0,13.274018162532522,0.3925099677455855,0.0
nominal_fixed,1.0,1.0,100023014,0.47491748863664623,0.03974858421482382,1.0,21.0,0.43516924129586565,0.000120586469955696,0.0,3.8360576156031096,0.6262990358184957,0.0
nominal_fixed,1.0,1.0,100023015,0.48434875868726207,0.04095278971572842,1.0,22.0,0.4433959689715335,0.011167088999323373,0.0,5.845380004334349,0.5353887221641931,0.0
nominal_fixed,1.0,1.0,100023016,0.6625082596681018,0.0405617004574258,1.0,27.0,0.6219833112625166,0.0028391783676888385,0.0,6.62785949781684,0.579342522110168,0.0
nominal_fixed,1.0,1.0,100023017,0.7296113168732308,0.04140967596080682,1.0,30.0,0.6882016409124239,0.012710579951839999,0.0,8.3622760907544,0.5820918764725621,0.0
