case_id,method,method_used_mode,ratio,estimated_ratio,profile_kind,weakness,estimated_weakness,task_family,noise_level,drift_mode,confidence,seed,initial_error,final_error,success,steps,path_length,mean_tracking_error,saturations,effort,mean_margin,branch_switches,regret_error,family,condition
0,nominal_branch,nominal_branch,1.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,1.0,93023,0.45355340936835026,0.04155930996391655,1.0,20.0,0.4119946113965712,0.00020718694187325917,0.0,3.430076666344422,0.6199021652499139,1.0,0.0,family_g,symmetric_actuation
0,mean_gain,mean_gain,1.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,1.0,2093023,0.757869247236356,0.043016477571892905,1.0,30.0,0.7148527696644631,0.006601403384165034,0.0,11.485298514528724,0.5319815234333946,0.0,0.0,family_g,symmetric_actuation
0,symmetric_derating,symmetric_derating,1.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,1.0,4093023,0.6369495945801669,0.040489577680219116,1.0,26.0,0.5964607005033109,0.00017082434723632607,0.0,7.9158623013597476,0.56846995270567,0.0,0.0,family_g,symmetric_actuation
0,signed_fixed,signed_fixed,1.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,1.0,6093023,0.47197286859605203,0.04482416671712744,1.0,20.0,0.42714870187892456,2.2618707122968827e-17,0.0,6.698836648868875,0.5143145388993156,0.0,0.0,family_g,symmetric_actuation
0,scmp_true,scmp_true,1.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,1.0,8093023,0.451222931238811,0.04111689390838551,1.0,20.0,0.41010603733042544,2.926588212518415e-17,0.0,4.446742931413886,0.6699038334443013,0.0,0.0,family_g,symmetric_actuation
0,scmp_estimated,scmp_estimated,1.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,1.0,10093023,0.5785154618294602,0.04128779176645568,1.0,24.0,0.5372276700630044,1.590163186312073e-17,0.0,3.925344999464867,0.6590454458311166,0.0,0.0,family_g,symmetric_actuation
0,guarded_scmp,guarded_scmp,1.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,1.0,12093023,0.6163599527264395,0.04240631792256717,1.0,25.0,0.5739536348038724,2.0329525560121273e-17,0.0,5.15728871480679,0.6187431099100507,0.0,0.0,family_g,symmetric_actuation
0,random_branch,random_branch,1.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,1.0,14093023,0.7065070042450032,0.04285699802200532,1.0,28.0,0.6636606367906923,0.003233354034426519,0.0,6.252329722165,0.6420452950232425,12.0,0.0,family_g,symmetric_actuation
1,nominal_branch,nominal_branch,1.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,1.0,93024,0.6615521807263407,0.04495488391140457,1.0,27.0,0.6166253717238477,0.01192283792776092,0.0,7.410690111484448,0.5287934946228868,1.0,0.0,family_g,symmetric_actuation
1,mean_gain,mean_gain,1.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,1.0,2093024,0.5053363655161881,0.042085756884641265,1.0,22.0,0.4632506086315469,0.005833567665915479,0.0,8.955842204865348,0.4135438671417592,0.0,0.0,family_g,symmetric_actuation
1,symmetric_derating,symmetric_derating,1.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,1.0,4093024,0.7328440378863706,0.04064613256047086,1.0,29.0,0.6921979053258999,1.752148903370347e-17,0.0,6.24374588893282,0.5939919857586599,0.0,0.0,family_g,symmetric_actuation
1,signed_fixed,signed_fixed,1.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,1.0,6093024,0.4830901080424423,0.04116748749072229,1.0,21.0,0.4419226205517201,1.9136943308125924e-17,0.0,5.3944330696029805,0.6408747795989761,0.0,0.0,family_g,symmetric_actuation
1,scmp_true,scmp_true,1.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,1.0,8093024,0.5975124712895586,0.04468187895844692,1.0,24.0,0.5528305923311119,1.3442412064156705e-17,0.0,2.7221584275032966,0.6928903017429141,0.0,0.0,family_g,symmetric_actuation
1,scmp_estimated,scmp_estimated,1.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,1.0,10093024,0.4866279551290507,0.041799574425726634,1.0,21.0,0.4448283807033241,2.0723617004403824e-17,0.0,4.702328101415853,0.5757087917509045,0.0,0.0,family_g,symmetric_actuation
