case_id,method,method_used_mode,ratio,estimated_ratio,profile_kind,weakness,estimated_weakness,task_family,noise_level,drift_mode,confidence,seed,initial_error,final_error,success,steps,path_length,mean_tracking_error,saturations,effort,mean_margin,branch_switches,regret_error,family,condition,calibration_budget,calibration_bias
0,mean_gain,mean_gain,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,1514682269,0.6185073702745556,0.0405392254163808,1.0,27.0,0.5805118764207169,0.028242860718931097,0.0,6.685915198625615,0.5377838476677484,0.0,0.0,family_c,budget_0_unbiased,0,unbiased
0,symmetric_derating,symmetric_derating,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,423075661,0.41595016607103835,0.04400350227831623,1.0,19.0,0.3752308893783714,0.030534891424642642,0.0,3.850767391410964,0.6134354456567257,0.0,0.0,family_c,budget_0_unbiased,0,unbiased
0,signed_fixed,signed_fixed,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,145982088,0.453244195024653,0.08423898369872009,0.0,58.0,0.3694330264246932,0.2453120246023236,0.0,18.072120108053053,0.48098470976192687,0.0,0.0,family_c,budget_0_unbiased,0,unbiased
0,scmp_true,scmp_true,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,1240619086,0.47127555416576733,0.04469958153009606,1.0,20.0,0.4265759726356713,1.7310084694449672e-17,0.0,3.7656360904545974,0.6477888210079098,0.0,0.0,family_c,budget_0_unbiased,0,unbiased
0,scmp_estimated,scmp_estimated,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,190072264,0.561697361429012,0.08653998529238244,0.0,58.0,0.5225127063303073,0.23378677606635695,3.0,40.4544014260579,0.2011472032063156,0.0,0.0,family_c,budget_0_unbiased,0,unbiased
0,adaptive_scmp,adaptive_scmp,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,329986287,0.7407272482691896,0.04494366606033218,1.0,56.0,0.7775956261323941,0.14611227364374907,0.0,20.251161958194434,0.50047085933761,0.0,0.0,family_c,budget_0_unbiased,0,unbiased
0,guarded_scmp,guarded_fallback,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,225343917,0.45247648025836323,0.05164922914251406,1.0,58.0,0.41667581885708393,0.17693566040680692,0.0,10.41146824234596,0.6242474562747831,0.0,0.0,family_c,budget_0_unbiased,0,unbiased
0,robust_scmp,robust_scmp,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,496313959,0.6381474465939013,0.13014153242110615,0.0,58.0,0.5105820440583216,0.2739018110555957,0.0,27.18687866098345,0.3364048208104332,0.0,0.0,family_c,budget_0_unbiased,0,unbiased
1,mean_gain,mean_gain,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,223726132,0.5069796495871269,0.10796136176356293,0.0,58.0,0.39901828782356386,0.26713440032208463,0.0,58.705801209567795,0.21817772465559915,0.0,0.0,family_c,budget_0_unbiased,0,unbiased
1,symmetric_derating,symmetric_derating,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,587429111,0.49462337875577056,0.09170058977889364,0.0,58.0,0.4098255602852668,0.2509119563629216,0.0,32.97357727907389,0.28064389187085775,0.0,0.0,family_c,budget_0_unbiased,0,unbiased
1,signed_fixed,signed_fixed,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,854066507,0.7236904680006728,0.041851094083959435,1.0,30.0,0.6848160977018333,0.025954861212708055,0.0,18.160554546182183,0.34868651017291535,0.0,0.0,family_c,budget_0_unbiased,0,unbiased
1,scmp_true,scmp_true,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,13354143,0.639035411933345,0.16270021284948452,0.0,58.0,0.5232891611967171,0.2973788375757672,0.0,87.32598074579747,0.0,3.0,0.0,family_c,budget_0_unbiased,0,unbiased
1,scmp_estimated,scmp_estimated,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,4632068,0.5108805313427626,0.043005207271534826,1.0,22.0,0.46941493923013666,0.01639017900576278,0.0,5.020581560315539,0.5621358734511435,0.0,0.0,family_c,budget_0_unbiased,0,unbiased
1,adaptive_scmp,adaptive_scmp,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,381651713,0.5189267474273589,0.04364982047729562,1.0,45.0,0.5000338997753198,0.12529660486377908,0.0,6.101019464531619,0.7346745001684961,0.0,0.0,family_c,budget_0_unbiased,0,unbiased
1,guarded_scmp,guarded_fallback,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,1827536011,0.508221817517486,0.10377722499096054,0.0,58.0,0.4054874192226825,0.266004100618329,0.0,23.756618787430497,0.3891980072345125,0.0,0.0,family_c,budget_0_unbiased,0,unbiased
1,robust_scmp,robust_scmp,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,892561335,0.5415947038758679,0.044517105512350726,1.0,58.0,0.536164566011129,0.15687003037241418,0.0,16.226175397920606,0.5506069341504967,0.0,0.0,family_c,budget_0_unbiased,0,unbiased
2,mean_gain,mean_gain,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,499279085,0.7079798185494828,0.04554011826229979,1.0,58.0,0.7333100514335672,0.15045259015896342,0.0,21.272618799456737,0.4747635178608298,0.0,0.0,family_c,budget_0_unbiased,0,unbiased
2,symmetric_derating,symmetric_derating,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,713126294,0.4085956044626706,0.04478677868948281,1.0,18.0,0.3638088257731877,2.672678533869192e-17,0.0,6.54864925842585,0.44832061489401315,0.0,0.0,family_c,budget_0_unbiased,0,unbiased
2,signed_fixed,signed_fixed,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,14826487,0.420375049482199,0.0812024384560409,0.0,58.0,0.3412448802083326,0.24810585413804276,27.0,39.93456520992207,0.20899177347251677,0.0,0.0,family_c,budget_0_unbiased,0,unbiased
2,scmp_true,scmp_true,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,1641350108,0.3874348317792814,0.04160389995834522,1.0,24.0,0.3494447942207335,0.10047097085139005,0.0,19.655296984260193,0.13174366093032144,0.0,0.0,family_c,budget_0_unbiased,0,unbiased
2,scmp_estimated,scmp_estimated,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,697239854,0.5269617389026775,0.13611460818767862,0.0,58.0,0.39418285061931624,0.29532805937678036,41.0,74.47578961878435,0.07175793042060837,0.0,0.0,family_c,budget_0_unbiased,0,unbiased
2,adaptive_scmp,adaptive_scmp,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,1947316393,0.3903857302525426,0.06642851734981625,0.0,58.0,0.3243760726157395,0.21698179390991096,0.0,18.41971737577034,0.4851463856405361,0.0,0.0,family_c,budget_0_unbiased,0,unbiased
2,guarded_scmp,guarded_fallback,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,1678530053,0.6175559370413168,0.2264375705949848,0.0,58.0,0.39230427736724827,0.32922734533977344,58.0,62.97251095526998,0.0,0.0,0.0,family_c,budget_0_unbiased,0,unbiased
2,robust_scmp,robust_scmp,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,1168363447,0.5192547310777991,0.06301924055733894,0.0,58.0,0.4684542190182657,0.18696346811799774,30.0,56.60099760263426,0.10621261997326012,1.0,0.0,family_c,budget_0_unbiased,0,unbiased
3,mean_gain,mean_gain,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,1330220005,0.5198645274444689,0.04478068206950146,1.0,22.0,0.47508384537496756,0.005982579854919317,0.0,8.876558153067634,0.4640317824472953,0.0,0.0,family_c,budget_0_unbiased,0,unbiased
3,symmetric_derating,symmetric_derating,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,1288681423,0.6641354047920687,0.03967843339229458,1.0,27.0,0.6244569713997741,3.3013014428847595e-17,0.0,8.413087432489844,0.5945998962280328,0.0,0.0,family_c,budget_0_unbiased,0,unbiased
3,signed_fixed,signed_fixed,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,1590158006,0.5442735210328001,0.04081291266330155,1.0,23.0,0.5034606083694986,2.4408474628958607e-17,0.0,6.6376643528439025,0.6149833812672622,0.0,0.0,family_c,budget_0_unbiased,0,unbiased
3,scmp_true,scmp_true,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,802578260,0.5482812441499435,0.041528949665310906,1.0,23.0,0.5067522944846327,2.5701205403408755e-17,0.0,7.454095249331804,0.5177454726205726,1.0,0.0,family_c,budget_0_unbiased,0,unbiased
3,scmp_estimated,scmp_estimated,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,260169788,0.4273006869875166,0.042485776053202445,1.0,19.0,0.3848149109343142,4.1324830071043647e-17,0.0,6.0402397889886785,0.5610174034643091,0.0,0.0,family_c,budget_0_unbiased,0,unbiased
3,adaptive_scmp,adaptive_scmp,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,336287287,0.47083882388960563,0.044621553425736135,1.0,20.0,0.4262172704638695,2.088229134741274e-17,0.0,6.405142178778831,0.5886088761020442,0.0,0.0,family_c,budget_0_unbiased,0,unbiased
3,guarded_scmp,guarded_fallback,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,509369868,0.6763605126844728,0.041840409498905835,1.0,27.0,0.634520103185567,2.8089267997943825e-17,0.0,8.658805794116658,0.5678493322016882,0.0,0.0,family_c,budget_0_unbiased,0,unbiased
3,robust_scmp,robust_scmp,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,1447427363,0.6263223730614188,0.043601345999230996,1.0,25.0,0.5911739339246813,0.05393961047133769,0.0,16.742108956028765,0.28591472708977206,2.0,0.0,family_c,budget_0_unbiased,0,unbiased
4,mean_gain,mean_gain,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,783572706,0.5683602941720027,0.17043973008016527,0.0,58.0,0.3998069081183689,0.3140798990158747,49.0,67.52153492057622,0.020101885539854317,0.0,0.0,family_c,budget_0_unbiased,0,unbiased
4,symmetric_derating,symmetric_derating,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,1633612910,0.4489337680382131,0.04070790219230258,1.0,20.0,0.4082258658459104,3.202775145753371e-17,0.0,6.3290913232382655,0.5429520504044867,0.0,0.0,family_c,budget_0_unbiased,0,unbiased
4,signed_fixed,signed_fixed,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,896708332,0.42935002715770165,0.10376662815294994,0.0,58.0,0.32952625971776706,0.27725650815284164,36.0,55.183463146323085,0.11378179817207812,0.0,0.0,family_c,budget_0_unbiased,0,unbiased
4,scmp_true,scmp_true,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,1238720298,0.5363480784148537,0.03945130716498829,1.0,23.0,0.4968967712498655,2.2610015282132996e-17,0.0,11.869167456103513,0.35138371469940155,1.0,0.0,family_c,budget_0_unbiased,0,unbiased
4,scmp_estimated,scmp_estimated,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,1235880198,0.5377412733526757,0.14758139920313568,0.0,58.0,0.3929245440733565,0.3048307473217006,46.0,55.359880473652076,0.0401633956409029,0.0,0.0,family_c,budget_0_unbiased,0,unbiased
4,adaptive_scmp,adaptive_scmp,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,736583279,0.5091390740788406,0.044178937969283384,1.0,37.0,0.48449529139065445,0.11004829057219587,0.0,4.985349134882715,0.7551271383953553,0.0,0.0,family_c,budget_0_unbiased,0,unbiased
4,guarded_scmp,guarded_fallback,4.0,1.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.0,538694322,0.4981032832954866,0.10818870488033759,0.0,58.0,0.38991457841514904,0.2681914286604564,0.0,63.84966843376702,0.22964838142636398,0.0,0.0,family_c,budget_0_unbiased,0,unbiased
