method,n,success_mean,success_ci95,final_error_mean,tracking_error_mean,saturations_mean,effort_mean,margin_mean,branch_switches_mean,regret_error_mean
adaptive_scmp,630,0.7507936507936508,0.033777355422960495,0.07713751166218312,0.10005030922236104,6.438095238095238,25.958483336407657,0.3611991387239916,0.5523809523809524,0.03431383852499008
guarded_scmp,630,0.746031746031746,0.03399023502151108,0.07188467917855093,0.09720183399336016,5.542857142857143,25.427432975806763,0.373387544611211,0.5825396825396826,0.029369265136753857
mean_gain,630,0.8317460317460318,0.02921217026570215,0.0667344850235621,0.1523918204847466,8.026984126984127,26.260823849842737,0.31375131533964606,0.6571428571428571,0.0246323277065396
nominal_branch,630,0.5841269841269842,0.038487508885248,0.08563781509695012,0.147407810282482,3.165079365079365,22.598192867760876,0.42574744975308243,0.7301587301587301,0.04160253513150443
nominal_fixed,630,0.6396825396825396,0.03748959069062894,0.08252829927203136,0.12773243284737495,1.9285714285714286,21.295126386123968,0.4616627006038061,0.0,0.03819901199452284
oracle_one_step,630,0.9396825396825397,0.018590792298851598,0.0510861530864545,0.04933208545721493,0.0,18.722007681410147,0.3958992438330057,3.580952380952381,0.0
random_branch,630,0.7666666666666667,0.033027635267424534,0.06736602202433326,0.12908730298747453,1.661904761904762,19.808850661832906,0.45025950759330674,20.150793650793652,0.02473861631182148
robust_scmp,630,0.7603174603174603,0.03333507814363497,0.07305314194918039,0.11757110766908725,7.006349206349206,25.368885737835907,0.3482916494086127,0.6111111111111112,0.030307740180890264
scmp_estimated,630,0.780952380952381,0.03229738360385127,0.07316847402933212,0.09633360052044691,5.250793650793651,25.144037962020263,0.3741987383520805,0.5857142857142857,0.030458907530266723
scmp_true,630,0.9428571428571428,0.018125488499164195,0.0509092532199342,0.03962325401642118,0.0,16.207973208992552,0.4462258513867655,0.5523809523809524,0.009131015527340199
signed_fixed,630,0.8031746031746032,0.031047836890562768,0.07157028156374126,0.12249264224264383,2.176190476190476,31.51376205929679,0.32183825839861135,0.0,0.029152927478978626
symmetric_derating,630,0.5492063492063493,0.03885460216936173,0.13211998275527587,0.21409483258064235,0.0,22.101391447346288,0.48298193686596286,1.2063492063492063,0.08608774165923218
