method,n,success_mean,success_ci95,final_error_mean,tracking_error_mean,saturations_mean,effort_mean,margin_mean,branch_switches_mean,regret_error_mean
adaptive_scmp,3360,0.9375,0.008184875533567997,0.06957119266955085,0.024555268918806626,0.0,13.157920309756861,0.49193585339777895,0.4708333333333333,0.01675983893502272
guarded_scmp,3360,0.9386904761904762,0.008111694946643853,0.06774932936873479,0.02408482378907489,0.0,13.150330289981252,0.49273355103554084,0.4738095238095238,0.016272114669777023
mean_gain,3360,0.9324404761904762,0.008486727962214273,0.06853672696069324,0.09246874827128296,0.0,14.76038460807483,0.4238229788074197,0.5904761904761905,0.016760930374531875
nominal_branch,3360,0.7708333333333334,0.014211581170012427,0.09512542280563614,0.10005624214656685,0.0,15.813674711826858,0.5081763621936891,0.7985119047619048,0.035969525692059516
nominal_fixed,3360,0.8142857142857143,0.013149144458861192,0.0905113409304018,0.08920618749419273,0.0,16.45523121363189,0.5135431700858198,0.0,0.034446132909059214
oracle_one_step,3360,0.9330357142857143,0.008451955210186575,0.07166906938806131,0.025339656080933397,0.0,13.74338027550877,0.4665323810613949,6.281845238095238,0.0
random_branch,3360,0.8651785714285715,0.011548319006461503,0.08545042982044869,0.08833988850957235,0.0,14.480759126426943,0.5172049063783308,17.161011904761907,0.030468755035451264
robust_scmp,3360,0.937202380952381,0.00820303780817859,0.07197955458251085,0.054211306519800655,0.0,12.874827108217639,0.4624873160918679,0.5425595238095238,0.017844543595792656
scmp_estimated,3360,0.937797619047619,0.008166660466267487,0.06905308576719686,0.025349137502593575,0.0,13.284806379622488,0.4919931202673418,0.48154761904761906,0.016854798492793453
scmp_true,3360,0.9398809523809524,0.008037646519602246,0.06875130139561622,0.024761313558342768,0.0,13.148009806193421,0.4921543392425468,0.47172619047619047,0.01699698814767755
signed_fixed,3360,0.8910714285714286,0.01053449195895717,0.07666161807610433,0.0626686313837026,0.0,23.022731924763026,0.40250984715600313,0.0,0.024118547700333073
symmetric_derating,3360,0.7854166666666667,0.013881438800473685,0.10769852563942224,0.10922210434452317,0.0,18.669678590794277,0.48856796869130253,0.8508928571428571,0.04470976239847158
