noise_level,method,n,success_mean,success_ci95,final_error_mean,tracking_error_mean,saturations_mean,effort_mean,margin_mean,branch_switches_mean,regret_error_mean
0.0,adaptive_scmp,60,0.8833333333333333,0.08122994339345378,0.058540887482616336,0.07914763264887895,0.0,24.56086498523008,0.3208547022545847,0.7666666666666667,0.0
0.0,guarded_scmp,60,0.9333333333333333,0.06311799649451398,0.04875639211801843,0.05095909311365172,0.0,18.82635284149298,0.4030882664032312,0.75,0.0
0.0,mean_gain,60,0.9166666666666666,0.06993515515051016,0.057928668966978285,0.15642238401729042,0.0,21.472524803082667,0.2631998493421495,0.8,0.0
0.0,robust_scmp,60,0.9333333333333333,0.06311799649451398,0.05559170173181147,0.06792150681658518,0.0,17.881325925309067,0.37822550378145064,0.6166666666666667,0.0
0.0,scmp_estimated,60,0.9166666666666666,0.06993515515051016,0.0638146386637534,0.06647377363807297,0.0,23.40886434342896,0.3378585940739608,0.6666666666666666,0.0
0.0,scmp_true,60,0.8833333333333333,0.08122994339345378,0.06489361093941731,0.07069783218617422,0.0,22.953191570002847,0.361573341926973,0.6666666666666666,0.0
0.0,signed_fixed,60,0.75,0.10956733089748968,0.08180824602072505,0.12891591669567196,0.0,39.985615102799464,0.24636056708786608,0.0,0.0
0.0,symmetric_derating,60,0.48333333333333334,0.1264471489654135,0.09801129436895922,0.2419335292146246,0.0,33.29109019474918,0.384193825826503,1.4,0.0
0.25,adaptive_scmp,60,0.9,0.07591047358566537,0.054273969797496685,0.06627693064881073,8.6,23.649371549155443,0.33132356218632764,0.7666666666666667,0.0
0.25,guarded_scmp,60,0.9333333333333333,0.06311799649451398,0.05260215460897444,0.05650066269830266,6.45,19.023493490626983,0.396352073977832,0.43333333333333335,0.0
0.25,mean_gain,60,0.9333333333333333,0.06311799649451398,0.05414854829232869,0.1603220485444887,5.733333333333333,21.49645683104124,0.2861036451309181,0.8666666666666667,0.0
0.25,robust_scmp,60,0.8833333333333333,0.08122994339345378,0.06554856328476139,0.08297938356255585,0.0,18.762864104091967,0.3744891434239734,0.65,0.0
0.25,scmp_estimated,60,0.95,0.05514768051937152,0.05204973957376619,0.044661581938973884,5.716666666666667,17.401138686892615,0.41548723097585116,0.6166666666666667,0.0
0.25,scmp_true,60,0.85,0.0903515356814703,0.06503582980517891,0.059926232619635526,6.933333333333334,21.064165167346292,0.3791893337923256,0.6833333333333333,0.0
0.25,signed_fixed,60,0.7833333333333333,0.10424369596358404,0.07050809305506567,0.13227943226805872,18.633333333333333,42.209716773303406,0.23316329657964063,0.0,0.0
0.25,symmetric_derating,60,0.45,0.12588327927091827,0.12692683026653165,0.24910897438284704,14.083333333333334,30.814340999659695,0.41908845074265677,1.4833333333333334,0.0
0.5,adaptive_scmp,60,0.8666666666666667,0.08601533024430608,0.05870387883302472,0.06727272714104662,7.966666666666667,22.268266093830597,0.371604839767741,0.8333333333333334,0.0
0.5,guarded_scmp,60,0.9166666666666666,0.06993515515051016,0.051882661438848204,0.06684478946840337,7.016666666666667,19.99571153978697,0.42076250274533644,0.7166666666666667,0.0
0.5,mean_gain,60,0.9333333333333333,0.06311799649451398,0.050435336512586866,0.15646176908165663,5.666666666666667,20.62568248808748,0.2817271993451483,0.9333333333333333,0.0
