case_id,method,method_used_mode,ratio,estimated_ratio,profile_kind,weakness,estimated_weakness,task_family,noise_level,drift_mode,confidence,seed,initial_error,final_error,success,steps,path_length,mean_tracking_error,saturations,effort,mean_margin,branch_switches,regret_error,family,condition
0,mean_gain,mean_gain,4.0,4.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.8,73023,0.5529638145119028,0.04398806431554003,1.0,23.0,0.5218682681318972,0.1131590343436238,0.0,10.11277806696108,0.4317412648004246,1.0,0.0,family_e,noise_0.00
0,symmetric_derating,symmetric_derating,4.0,4.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.8,2073023,0.5154056402556656,0.040843607411877175,1.0,52.0,0.4835383485763345,0.21708861858455938,0.0,41.22179347740221,0.4636879375283715,1.0,0.0,family_e,noise_0.00
0,signed_fixed,signed_fixed,4.0,4.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.8,4073023,0.5453522979173032,0.06211398793241391,0.0,58.0,0.49960995670619407,0.2529686680765426,0.0,59.21772022923958,0.0,0.0,0.0,family_e,noise_0.00
0,scmp_true,scmp_true,4.0,4.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.8,6073023,0.510516515058461,0.040424674095483344,1.0,22.0,0.4700918409629778,3.471244367044128e-17,0.0,7.517912506481841,0.5374112807374267,1.0,0.0,family_e,noise_0.00
0,scmp_estimated,scmp_estimated,4.0,4.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.8,8073023,0.7504146747444287,0.1014147508046891,0.0,58.0,0.6647435178485794,0.2436743856171893,0.0,58.93222044911064,0.0,2.0,0.0,family_e,noise_0.00
0,adaptive_scmp,adaptive_scmp,4.0,4.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.8,10073023,0.5913269764395559,0.04388114096010501,1.0,25.0,0.5507324465927627,0.018245607973840887,0.0,23.830888246816397,0.16059427304107252,2.0,0.0,family_e,noise_0.00
0,guarded_scmp,guarded_scmp,4.0,4.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.8,12073023,0.6399532721404695,0.04097866865550213,1.0,26.0,0.5989746034849672,3.808360507959464e-17,0.0,7.77245660526571,0.5167717935687303,0.0,0.0,family_e,noise_0.00
0,robust_scmp,robust_scmp,4.0,4.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.8,14073023,0.6252873041454361,0.04034265703002789,1.0,23.0,0.5849446471154082,0.033819648885025935,0.0,9.010518943232714,0.5054029315683202,1.0,0.0,family_e,noise_0.00
1,mean_gain,mean_gain,4.0,4.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.8,73024,0.41959795719914095,0.04461413886634382,1.0,43.0,0.38954603674055155,0.15411969537719958,0.0,24.991914193677864,0.30219839507400187,0.0,0.0,family_e,noise_0.00
1,symmetric_derating,symmetric_derating,4.0,4.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.8,2073024,0.49867597182065154,0.04428480797568415,1.0,38.0,0.46451963433519605,0.1768742136611743,0.0,35.70773193127458,0.04320890535831733,0.0,0.0,family_e,noise_0.00
1,signed_fixed,signed_fixed,4.0,4.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.8,4073024,0.4295598379659985,0.04273157196424607,1.0,50.0,0.41000252481601857,0.21872446778658727,0.0,72.1569096434865,0.0031557216544935685,0.0,0.0,family_e,noise_0.00
1,scmp_true,scmp_true,4.0,4.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.8,6073024,0.7007095299232259,0.042364078573214094,1.0,28.0,0.6592187310939833,0.007023763492729687,0.0,21.720279693882237,0.18367809350573053,1.0,0.0,family_e,noise_0.00
1,scmp_estimated,scmp_estimated,4.0,4.0,baseline,opposed,opposed,high_branch_contrast,0.0,none,0.8,8073024,0.6758004345442866,0.040901908383289845,1.0,28.0,0.6360063159251041,0.015440410386426464,0.0,15.192581849573179,0.40118064925299324,0.0,0.0,family_e,noise_0.00
